Title,Author,Publisher,Parent Group,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
EDUCATED,Tara Westover,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,50
FROM THE GROUND UP,Howard Schultz with Joanne Gordon,Random House,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,1
TEAM OF VIPERS,Cliff Sims,Thomas Dunne/St. Martin’s,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,2/17/19,1
LET ME FINISH,Chris Christie with Ellis Henican,Hachette,Hachette Book,9.78E+12,Hardcover Nonfiction,2/17/19,1
THE FIRST CONSPIRACY,Brad Meltzer and Josh Mensch,Flatiron,Macmillan Publishers,9.78E+12,Hardcover Nonfiction,2/17/19,4
WOMEN ROWING NORTH,Mary Pipher,Bloomsbury,Bloomsbury Publishing,9.78E+12,Hardcover Nonfiction,2/17/19,3
THE TRUTHS WE HOLD,Kamala Harris,Penguin Press,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,4
BAD BLOOD,John Carreyrou,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,16
THE LIBRARY BOOK,Susan Orlean,Simon & Schuster,Simon & Schuster,9.78E+12,Hardcover Nonfiction,2/17/19,12
SHAMELESS,Nadia Bolz-Weber,Convergent,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,1
MAID,Stephanie Land,Hachette,Hachette Book,9.78E+12,Hardcover Nonfiction,2/17/19,2
THE POINT OF IT ALL,"Charles Krauthammer,",Crown Forum,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,9
INHERITANCE,Dani Shapiro,Knopf,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,3
THE HEARTBEAT OF WOUNDED KNEE,David Treuer,Riverhead,Penguin Random House,9.78E+12,Hardcover Nonfiction,2/17/19,2
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,HarperCollins,9.78E+12,Trade Fiction Paperback,2/17/19,22
THE LOST GIRLS OF PARIS,Pam Jenoff,Park Row,HarperCollins,9.78E+12,Trade Fiction Paperback,2/17/19,1
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,Penguin Random House,9.78E+12,Trade Fiction Paperback,2/17/19,35
LESS,Andrew Sean Greer,Back Bay,Hachette Book,9.78E+12,Trade Fiction Paperback,2/17/19,37
THE HOUSE NEXT DOOR,James Patterson,Grand Central,Grand Central,9.78E+12,Trade Fiction Paperback,2/17/19,4
MILK AND HONEY,Rupi Kaur,Andrews McMeel,Andrews McMeel,9.78E+12,Trade Fiction Paperback,2/17/19,147
A DOG'S WAY HOME,W Bruce Cameron,Forge,Macmillan Publishers,9.78E+12,Trade Fiction Paperback,2/17/19,10
THE WIFE BETWEEN US,Greer Hendricks and Sarah Pekkanen,St. Martin's,Macmillan Publishers,9.78E+12,Trade Fiction Paperback,2/17/19,13
THE PROPOSAL,Jasmine Guillory,Berkley,Penguin Random House,9.78E+12,Trade Fiction Paperback,2/17/19,2
THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,Andrews McMeel,9.78E+12,Trade Fiction Paperback,2/17/19,70
THE POWER,Naomi Alderman,Back Bay,Hachette Book,9.78E+12,Trade Fiction Paperback,2/17/19,4
PACHINKO,Min Jin Lee,Grand Central,Grand Central,9.78E+12,Trade Fiction Paperback,2/17/19,46
THEN SHE WAS GONE,Lisa Jewell,Atria,Simon & Schuster,9.78E+12,Trade Fiction Paperback,2/17/19,5
ONE DAY IN DECEMBER,Josie Silver,Broadway,Penguin Random House,9.78E+12,Trade Fiction Paperback,2/17/19,9
SOLD ON A MONDAY,Kristina McMorris,Sourcebooks Landmark,Sourcebooks,9.78E+12,Trade Fiction Paperback,2/17/19,12
SAPIENS,Yuval Noah Harari,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,2/17/19,38
FASCISM: A Warning,Madeleine Albright with Bill Woodward,Harper Perennial,HarperCollins,9.78E+12,Paperback Nonfiction,2/17/19,1
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,Unitarian Universalist Association,9.78E+12,Paperback Nonfiction,2/17/19,30
THE BODY KEEPS THE SCORE,Bessel van der Kolk,Penguin,Penguin Random House,9.78E+12,Paperback Nonfiction,2/17/19,15
THE INNOCENT MAN,John Grisham,Bantam/Dell,Penguin Random House,9.78E+12,Paperback Nonfiction,2/17/19,47
GRIT,Angela Duckworth,Scribner,Simon & Schuster,9.78E+12,Paperback Nonfiction,2/17/19,23
JUST MERCY,Bryan Stevenson,Spiegel & Grau,Spiegel & Grau,9.78E+12,Paperback Nonfiction,2/17/19,138
KILLERS OF THE FLOWER MOON,David Grann,Vintage,Penguin Random House,9.78E+12,Paperback Nonfiction,2/17/19,44
BEING MORTAL,Atul Gawande,Picador,Holtzbrinck Publishing Group/Macmillan,9.78E+12,Paperback Nonfiction,2/17/19,71
