Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Parent Group
TEMPTATION AND SURRENDER,Stephanie Laurens,William Morrow,006124340X,9.78006E+12,Hardcover Fiction,3/15/09,1,
BONE CROSSED,Patricia Briggs,Ace,441016766,9.78044E+12,Hardcover Fiction,3/15/09,4,Penguin Random House
TRUE COLORS,Kristin Hannah,St. Martin's,312364105,9.78031E+12,Hardcover Fiction,3/15/09,0,Macmillan Publishers
DOG ON IT,Spencer Quinn,Atria,1416585834,9.78142E+12,Hardcover Fiction,3/15/09,0,Simon & Schuster
THE WOMEN,T C Boyle,Viking,670020419,9.78067E+12,Hardcover Fiction,3/15/09,0,Penguin Random House
WHILE MY SISTER SLEEPS,Barbara Delinsky,Doubleday,385524927,9.78039E+12,Hardcover Fiction,3/15/09,0,Penguin Random House
VERY VALENTINE,Adriana Trigiani,Harper,61257052,9.78006E+12,Hardcover Fiction,3/15/09,0,HarperCollins
THE YANKEE YEARS,Joe Torre and Tom Verducci,Doubleday,385527403,9.78039E+12,Hardcover Nonfiction,3/15/09,4,Penguin Random House
OUTLIERS,Malcolm Gladwell,"Little, Brown",316017922,9.78032E+12,Hardcover Nonfiction,3/15/09,15,Hachette Book
DEWEY,Vicki Myron with Bret Witter,Grand Central,446407410,9.78045E+12,Hardcover Nonfiction,3/15/09,24,Grand Central
THE LOST CITY OF Z,David Grann,Doubleday,385513534,9.78039E+12,Hardcover Nonfiction,3/15/09,1,Penguin Random House
OUT OF CAPTIVITY,"Marc Gonsalves, Keith Stansell, Tom Howes and Gary Brozek",William Morrow,61769525,9.78006E+12,Hardcover Nonfiction,3/15/09,1,
MULTIPLE BLESSINGS,"Jon Gosselin, Kate Gosselin and Beth Carson",Zondervan,310289025,9.78031E+12,Hardcover Nonfiction,3/15/09,19,HarperCollins
THE LAST LION,"The Boston Globe,",Simon & Schuster,1439138176,9.78144E+12,Hardcover Nonfiction,3/15/09,1,Simon & Schuster
OBAMA,with an introduction  Bill Keller and biographical text  Jill Abramson,Callaway,1594488932,9.78159E+12,Hardcover Nonfiction,3/15/09,2,Callaway Editions
A BOLD FRESH PIECE OF HUMANITY,Bill O’Reilly,Broadway,767928822,9.78077E+12,Hardcover Nonfiction,3/15/09,20,Penguin Random House
