,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2122,THE GUEST LIST,Lucy Foley,Morrow,0062868934,9780062868930,Hardcover Fiction,2020-10-25,18
2123,ONE BY ONE,Ruth Ware,Gallery/Scout,150118881X,9781501188817,Hardcover Fiction,2020-10-25,5
2124,VINCE FLYNN: TOTAL POWER,Kyle Mills,Emily Bestler/Atria,1501190652,9781501190650,Hardcover Fiction,2020-10-25,4
2125,HUMANS,Brandon Stanton,St. Martin's,1250114292,9781250114297,Hardcover Nonfiction,2020-10-25,1
2126,IS THIS ANYTHING?,Jerry Seinfeld,Simon & Schuster,1982112697,9781982112691,Hardcover Nonfiction,2020-10-25,1
2127,THE 99% INVISIBLE CITY,Roman Mars and Kurt Kohlstedt,Houghton Mifflin Harcourt,0358126606,9780358126607,Hardcover Nonfiction,2020-10-25,1
2128,RAGE,Bob Woodward,Simon & Schuster,198213173X,9781982131739,Hardcover Nonfiction,2020-10-25,4
2129,CASTE,Isabel Wilkerson,Random House,0593230256,9780593230251,Hardcover Nonfiction,2020-10-25,10
2130,BLACKOUT,Candace Owens,Threshold Editions,1982133279,9781982133276,Hardcover Nonfiction,2020-10-25,4
2131,KILLING CRAZY HORSE,Bill O'Reilly and Martin Dugard,Holt,1627797041,9781627797047,Hardcover Nonfiction,2020-10-25,5
2132,THE MEANING OF MARIAH CAREY,Mariah Carey with Michaela Angela Davis,Andy Cohen/Holt,1250164680,9781250164681,Hardcover Nonfiction,2020-10-25,2
2133,UNTAMED,Glennon Doyle,Dial,1984801252,9781984801258,Hardcover Nonfiction,2020-10-25,31
2134,UNDAUNTED,John O Brennan,Celadon,1250241774,9781250241771,Hardcover Nonfiction,2020-10-25,1
2135,TRUST,Pete Buttigieg,Liveright,1631498770,9781631498770,Hardcover Nonfiction,2020-10-25,1
2136,TEN LESSONS FOR A POST-PANDEMIC WORLD,Fareed Zakaria,Norton,0393542130,9780393542134,Hardcover Nonfiction,2020-10-25,1
2137,ONE VOTE AWAY,Ted Cruz,Regnery,1684511348,9781684511341,Hardcover Nonfiction,2020-10-25,2
2138,LET LOVE RULE,Lenny Kravitz with David Ritz,Holt,1250113083,9781250113085,Hardcover Nonfiction,2020-10-25,1
2139,HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,0525509283,9780525509288,Hardcover Nonfiction,2020-10-25,32
2140,WALK THE WIRE,David Baldacci,Grand Central,1538761475,9781538761472,Trade Fiction Paperback,2020-10-25,1
2141,THE INSTITUTE,Stephen King,Gallery,1982110589,9781982110581,Trade Fiction Paperback,2020-10-25,6
2142,THEN SHE WAS GONE,Lisa Jewell,Atria,1501154656,9781501154652,Trade Fiction Paperback,2020-10-25,65
2143,THE RISE OF MAGICKS,Nora Roberts,St. Martin's Griffin,1250123046,9781250123046,Trade Fiction Paperback,2020-10-25,1
2144,CILKA'S JOURNEY,Heather Morris,St. Martin's Griffin,125026569X,9781250265692,Trade Fiction Paperback,2020-10-25,5
2145,THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9780385490818,Trade Fiction Paperback,2020-10-25,133
2146,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin,0735224315,9780735224315,Trade Fiction Paperback,2020-10-25,75
2147,THE OVERSTORY,Richard Powers,Norton,039335668X,9780393356687,Trade Fiction Paperback,2020-10-25,64
2148,THIS TENDER LAND,William Kent Krueger,Atria,1476749302,9781476749303,Trade Fiction Paperback,2020-10-25,15
2149,LOVECRAFT COUNTRY,Matt Ruff,Harper Perennial,0062292072,9780062292070,Trade Fiction Paperback,2020-10-25,7
