Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Simon & Schuster,1534438378,9.78153E+12,Series Books,11/25/2018,17
CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,1338271490,9.78134E+12,Series Books,11/25/2018,144
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs,Quirk/Penguin,735232148,9.78074E+12,Series Books,11/25/2018,103
WARRIORS: A VISION OF SHADOWS,Erin Hunter,Harper/HarperCollins,62386573,9.78006E+12,Series Books,11/25/2018,5
THE HATE U GIVE,Angie Thomas,Balzer & Bray,62498533,9.78006E+12,Young Adult Hardcover,11/25/2018,89
ARCHENEMIES,Marissa Meyer,Feiwel & Friends,125007830X,9.78125E+12,Young Adult Hardcover,11/25/2018,1
SKYWARD,Brandon Sanderson,Delacorte,399555773,9.7804E+12,Young Adult Hardcover,11/25/2018,1
DEAR EVAN HANSEN: THE NOVEL,"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul",Poppy,None,9.78032E+12,Young Adult Hardcover,11/25/2018,5
BRIDGE OF CLAY,Markus Zusak,Knopf,1984830155,9.78198E+12,Young Adult Hardcover,11/25/2018,5
CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,1250170974,9.78125E+12,Young Adult Hardcover,11/25/2018,36
WHAT IF IT'S US,Becky Albertalli and Adam Silvera,Balzer & Bray,62795252,9.78006E+12,Young Adult Hardcover,11/25/2018,5
GIRLS OF PAPER AND FIRE,Natasha Ngan,jimmy patterson,316561363,9.78032E+12,Young Adult Hardcover,11/25/2018,1
THUNDERHEAD,Neal Shusterman,Simon & Schuster,1442472456,9.78144E+12,Young Adult Hardcover,11/25/2018,26
HOCUS POCUS AND THE ALL-NEW SEQUEL,AW Jantha,Freeform,1368020038,9.78137E+12,Young Adult Hardcover,11/25/2018,16
HOLY GHOST,John Sandford,Putnam,735217335,9.78074E+12,Combined Print and E-Book Fiction,10/28/2018,1
AMBUSH,James Patterson and James O Born,"Little, Brown",316414697,9.78032E+12,Combined Print and E-Book Fiction,10/28/2018,1
THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,Harper,006229444X,9.78006E+12,Combined Print and E-Book Fiction,10/28/2018,1
THE WITCH ELM,Tana French,Viking,735224633,9.78074E+12,Combined Print and E-Book Fiction,10/28/2018,1
THE CLOCKMAKER'S DAUGHTER,Kate Morton,Atria,1451649398,9.78145E+12,Combined Print and E-Book Fiction,10/28/2018,1
WINTER IN PARADISE,Elin Hilderbrand,"Little, Brown",316435503,9.78032E+12,Combined Print and E-Book Fiction,10/28/2018,1
A SPARK OF LIGHT,Jodi Picoult,Ballantine,345544986,9.78035E+12,Combined Print and E-Book Fiction,10/28/2018,2
KILLING COMMENDATORE,Haruki Murakami,Knopf,052552004X,9.78053E+12,Combined Print and E-Book Fiction,10/28/2018,1
VINCE FLYNN: RED WAR,Kyle Mills,Emily Bestler/Atria,1501190598,9.7815E+12,Combined Print and E-Book Fiction,10/28/2018,3
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219117,9.78074E+12,Combined Print and E-Book Fiction,10/28/2018,5
CRAZY RICH ASIANS,Kevin Kwan,Anchor,345803787,9.78035E+12,Combined Print and E-Book Fiction,10/28/2018,18
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,62797158,9.78006E+12,Combined Print and E-Book Fiction,10/28/2018,6
LETHAL WHITE,Robert Galbraith,"Mulholland/Little, Brown",316422746,9.78032E+12,Combined Print and E-Book Fiction,10/28/2018,4
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,735220697,9.78074E+12,Combined Print and E-Book Fiction,10/28/2018,17
JUROR #3,James Patterson and Nancy Allen,"Little, Brown",316470066,9.78032E+12,Combined Print and E-Book Fiction,10/28/2018,5
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,1250165547,9.78125E+12,Combined Print and E-Book Nonfiction,10/28/2018,1
SHIP OF FOOLS,Tucker Carlson,Free Press,1501183664,9.7815E+12,Combined Print and E-Book Nonfiction,10/28/2018,2
PRESIDENTS OF WAR,Michael Beschloss,Crown,307409600,9.78031E+12,Combined Print and E-Book Nonfiction,10/28/2018,1
FEAR,Bob Woodward,Simon & Schuster,1501175513,9.7815E+12,Combined Print and E-Book Nonfiction,10/28/2018,5
THE FIFTH RISK,Michael Lewis,Norton,1324002646,9.78132E+12,Combined Print and E-Book Nonfiction,10/28/2018,2
EDUCATED,Tara Westover,Random House,039959051X,9.7804E+12,Combined Print and E-Book Nonfiction,10/28/2018,34
KILLERS OF THE FLOWER MOON,David Grann,Doubleday,385534256,9.78039E+12,Combined Print and E-Book Nonfiction,10/28/2018,63
IN PIECES,Sally Field,Grand Central,1538763028,9.78154E+12,Combined Print and E-Book Nonfiction,10/28/2018,4
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,1476795924,9.78148E+12,Combined Print and E-Book Nonfiction,10/28/2018,4
THIRST,Scott Harrison with Lisa Sweetingham,Currency,1524762849,9.78152E+12,Combined Print and E-Book Nonfiction,10/28/2018,2
SPYGATE,Dan Bongino and DC McAllister with Matt Palumbo,Post Hill Press,None,9.78164E+12,Combined Print and E-Book Nonfiction,10/28/2018,1
SAPIENS,Yuval Noah Harari,Harper,62316117,9.78006E+12,Combined Print and E-Book Nonfiction,10/28/2018,43
GOOD AND MAD,Rebecca Traister,Simon & Schuster,1501181793,9.7815E+12,Combined Print and E-Book Nonfiction,10/28/2018,2
STOP MASS HYSTERIA,Michael Savage,Center Street,154608293X,9.78155E+12,Combined Print and E-Book Nonfiction,10/28/2018,1
"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,Center Street,1546083421,9.78155E+12,Combined Print and E-Book Nonfiction,10/28/2018,9
THE NEXT PERSON YOU MEET IN HEAVEN,Mitch Albom,Harper,006229444X,9.78006E+12,Hardcover Fiction,10/28/2018,1
HOLY GHOST,John Sandford,Putnam,735217327,9.78074E+12,Hardcover Fiction,10/28/2018,1
THE CLOCKMAKER'S DAUGHTER,Kate Morton,Atria,1451649398,9.78145E+12,Hardcover Fiction,10/28/2018,1
AMBUSH,James Patterson and James O Born,"Little, Brown",316273988,9.78032E+12,Hardcover Fiction,10/28/2018,1
WINTER IN PARADISE,Elin Hilderbrand,"Little, Brown",316435511,9.78032E+12,Hardcover Fiction,10/28/2018,1
A SPARK OF LIGHT,Jodi Picoult,Ballantine,345544986,9.78035E+12,Hardcover Fiction,10/28/2018,2
THE WITCH ELM,Tana French,Viking,735224625,9.78074E+12,Hardcover Fiction,10/28/2018,1
KILLING COMMENDATORE,Haruki Murakami,Knopf,052552004X,9.78053E+12,Hardcover Fiction,10/28/2018,1
VINCE FLYNN: RED WAR,Kyle Mills,Emily Bestler/Atria,1501190598,9.7815E+12,Hardcover Fiction,10/28/2018,3
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219095,9.78074E+12,Hardcover Fiction,10/28/2018,6
ALASKAN HOLIDAY,Debbie Macomber,Ballantine,399181288,9.7804E+12,Hardcover Fiction,10/28/2018,2
LETHAL WHITE,Robert Galbraith,"Mulholland/Little, Brown",316422738,9.78032E+12,Hardcover Fiction,10/28/2018,4
JUROR #3,James Patterson and Nancy Allen,"Little, Brown",316474126,9.78032E+12,Hardcover Fiction,10/28/2018,5
AN ABSOLUTELY REMARKABLE THING,Hank Green,Dutton,1524743445,9.78152E+12,Hardcover Fiction,10/28/2018,3
THE FLAME,Leonard Cohen,"Farrar, Straus & Giroux",374156069,9.78037E+12,Hardcover Fiction,10/28/2018,1
KILLING THE SS,Bill O'Reilly and Martin Dugard,Holt,1250165547,9.78125E+12,Hardcover Nonfiction,10/28/2018,1
SHIP OF FOOLS,Tucker Carlson,Free Press,1501183664,9.7815E+12,Hardcover Nonfiction,10/28/2018,2
PRESIDENTS OF WAR,Michael Beschloss,Crown,307409600,9.78031E+12,Hardcover Nonfiction,10/28/2018,1
FEAR,Bob Woodward,Simon & Schuster,1501175513,9.7815E+12,Hardcover Nonfiction,10/28/2018,5
THE FIFTH RISK,Michael Lewis,Norton,1324002646,9.78132E+12,Hardcover Nonfiction,10/28/2018,2
LEADERSHIP,Doris Kearns Goodwin,Simon & Schuster,1476795924,9.78148E+12,Hardcover Nonfiction,10/28/2018,4
IN PIECES,Sally Field,Grand Central,1538763028,9.78154E+12,Hardcover Nonfiction,10/28/2018,4
THIRST,Scott Harrison with Lisa Sweetingham,Currency,1524762849,9.78152E+12,Hardcover Nonfiction,10/28/2018,2
EDUCATED,Tara Westover,Random House,399590501,9.7804E+12,Hardcover Nonfiction,10/28/2018,34
GOOD AND MAD,Rebecca Traister,Simon & Schuster,1501181793,9.7815E+12,Hardcover Nonfiction,10/28/2018,2
STOP MASS HYSTERIA,Michael Savage,Center Street,154608293X,9.78155E+12,Hardcover Nonfiction,10/28/2018,1
"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,Center Street,1546083421,9.78155E+12,Hardcover Nonfiction,10/28/2018,13
THESE TRUTHS,Jill Lepore,Norton,393635244,9.78039E+12,Hardcover Nonfiction,10/28/2018,4
ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,Norton,393609391,9.78039E+12,Hardcover Nonfiction,10/28/2018,74
JESUS IS RISEN,David Limbaugh,Regnery,162157704X,9.78162E+12,Hardcover Nonfiction,10/28/2018,1
CRAZY RICH ASIANS,Kevin Kwan,Anchor,345803787,9.78035E+12,Trade Fiction Paperback,10/28/2018,25
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,62797158,9.78006E+12,Trade Fiction Paperback,10/28/2018,6
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,735220697,9.78074E+12,Trade Fiction Paperback,10/28/2018,19
CHINA RICH GIRLFRIEND,Kevin Kwan,Anchor,804172064,9.7808E+12,Trade Fiction Paperback,10/28/2018,12
LESS,Andrew Sean Greer,Back Bay,031631613X,9.78032E+12,Trade Fiction Paperback,10/28/2018,21
MILK AND HONEY,Rupi Kaur,Andrews McMeel,144947425X,9.78145E+12,Trade Fiction Paperback,10/28/2018,131
THE FALLEN,David Baldacci,Grand Central,1538761386,9.78154E+12,Trade Fiction Paperback,10/28/2018,5
THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9.78039E+12,Trade Fiction Paperback,10/28/2018,85
RICH PEOPLE PROBLEMS,Kevin Kwan,Anchor,052543237X,9.78053E+12,Trade Fiction Paperback,10/28/2018,10
THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,1449486797,9.78145E+12,Trade Fiction Paperback,10/28/2018,54
PACHINKO,Min Jin Lee,Grand Central,1455563927,9.78146E+12,Trade Fiction Paperback,10/28/2018,32
A SIMPLE FAVOR,Darcey Bell,Harper,62878646,9.78006E+12,Trade Fiction Paperback,10/28/2018,7
THE WOMAN IN CABIN 10,Ruth Ware,Scout,1501132954,9.7815E+12,Trade Fiction Paperback,10/28/2018,67
SLEEPING BEAUTIES,Stephen King and Owen King,Gallery,1501163418,9.7815E+12,Trade Fiction Paperback,10/28/2018,2
THE BEST AMERICAN SHORT STORIES 2018,edited  Roxane Gay with Heidi Pitlor,Houghton Mifflin Harcourt,544582942,9.78054E+12,Trade Fiction Paperback,10/28/2018,1
SAPIENS,Yuval Noah Harari,Harper Perennial,62316117,9.78006E+12,Paperback Nonfiction,10/28/2018,22
BEAUTIFUL BOY,David Sheff,Mariner,1328974715,9.78133E+12,Paperback Nonfiction,10/28/2018,5
ON TYRANNY,Timothy Snyder,Tim Duggan,804190119,9.7808E+12,Paperback Nonfiction,10/28/2018,54
LEONARDO DA VINCI,Walter Isaacson,Simon & Schuster,1501139169,9.7815E+12,Paperback Nonfiction,10/28/2018,2
WHITE FRAGILITY,Robin DiAngelo,Beacon Press,807047414,9.78081E+12,Paperback Nonfiction,10/28/2018,14
KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco,60899220,9.78006E+12,Paperback Nonfiction,10/28/2018,54
GRIT,Angela Duckworth,Scribner,1501111116,9.7815E+12,Paperback Nonfiction,10/28/2018,8
CODE GIRLS,Liza Mundy,Hachette,316352543,9.78032E+12,Paperback Nonfiction,10/28/2018,2
KILLERS OF THE FLOWER MOON,David Grann,Vintage,307742482,9.78031E+12,Paperback Nonfiction,10/28/2018,28
JUST MERCY,Bryan Stevenson,Spiegel & Grau,081298496X,9.78081E+12,Paperback Nonfiction,10/28/2018,125
HILLBILLY ELEGY,J.D. Vance,Harper,62300555,9.78006E+12,Paperback Nonfiction,10/28/2018,24
SHOE DOG,Phil Knight,Scribner,1501135929,9.7815E+12,Paperback Nonfiction,10/28/2018,21
FIRST MAN,James R Hansen,Simon & Schuster,1982110473,9.78198E+12,Paperback Nonfiction,10/28/2018,2
THE POWER OF HABIT,Charles Duhigg,Random House,081298160X,9.78081E+12,Paperback Nonfiction,10/28/2018,120
BEING MORTAL,Atul Gawande,Picador,1250076226,9.78125E+12,Paperback Nonfiction,10/28/2018,58
DARE TO LEAD,Brené Brown,Random House,399592520,9.7804E+12,Advice How-To and Miscellaneous,10/28/2018,1
"GIRL, WASH YOUR FACE",Rachel Hollis,Thomas Nelson,1400201659,9.7814E+12,Advice How-To and Miscellaneous,10/28/2018,27
SKINNYTASTE ONE AND DONE,Gina Homolka with Heather K Jones,Clarkson Potter,1524762156,9.78152E+12,Advice How-To and Miscellaneous,10/28/2018,1
THE SUBTLE ART OF NOT GIVING A F*CK,Mark Manson,HarperOne/HarperCollins,62457713,9.78006E+12,Advice How-To and Miscellaneous,10/28/2018,96
WHISKEY IN A TEACUP,Reese Witherspoon,Touchstone,1501166271,9.7815E+12,Advice How-To and Miscellaneous,10/28/2018,4
CRAVINGS: HUNGRY FOR MORE,Chrissy Teigen and Adeena Sussman,Clarkson Potter,1524759724,9.78152E+12,Advice How-To and Miscellaneous,10/28/2018,4
YOU ARE A BADASS,Jen Sincero,Running Press,762447699,9.78076E+12,Advice How-To and Miscellaneous,10/28/2018,144
THE FIVE LOVE LANGUAGES,Gary Chapman,Northfield,080241270X,9.7808E+12,Advice How-To and Miscellaneous,10/28/2018,264
THE HAPPY COOKBOOK,Steve Doocy and Kathy Doocy,Morrow,62838946,9.78006E+12,Advice How-To and Miscellaneous,10/28/2018,2
MATTY MATHESON: A COOKBOOK,Matty Matheson,Abrams,1419732455,9.78142E+12,Advice How-To and Miscellaneous,10/28/2018,1
ELBOW GREASE,John Cena,Random House,1524773506,9.78152E+12,Picture Books,10/28/2018,1
PETE THE CAT: FIVE LITTLE PUMPKINS,James Dean,HarperCollins,62304186,9.78006E+12,Picture Books,10/28/2018,25
I LOST MY TOOTH!,Mo Willems,Hyperion,1368024572,9.78137E+12,Picture Books,10/28/2018,2
I AM HUMAN,Susan Verde,Abrams,1419731653,9.78142E+12,Picture Books,10/28/2018,2
DRAGONS LOVE TACOS,Adam Rubin.,Dial,803736800,9.7808E+12,Picture Books,10/28/2018,242
A DAY IN THE LIFE OF MARLON BUNDO,Marlon Bundo with Jill Twiss,Chronicle,145217380X,9.78145E+12,Picture Books,10/28/2018,27
THE WONDERFUL THINGS YOU WILL BE,Emily Winfield Martin,Random House,385376715,9.78039E+12,Picture Books,10/28/2018,154
SHE'S GOT THIS,Laurie Hernandez,Harper,62840584,9.78006E+12,Picture Books,10/28/2018,1
QUIET,Tomie dePaola,Simon & Schuster,1481477544,9.78148E+12,Picture Books,10/28/2018,1
CARMELA FULL OF WISHES,Matt de la Peña,Putnam,399549048,9.7804E+12,Picture Books,10/28/2018,1
DOG MAN,Dav Pilkey,Scholastic,545935172,9.78055E+12,Series Books,10/28/2018,59
HARRY POTTER,J.K. Rowling,Scholastic,1338262181,9.78134E+12,Series Books,10/28/2018,499
TO ALL THE BOYS I'VE LOVED BEFORE,Jenny Han,Simon & Schuster,1442426748,9.78144E+12,Series Books,10/28/2018,13
MISS PEREGRINE’S PECULIAR CHILDREN,Ransom Riggs,Quirk/Penguin,735232148,9.78074E+12,Series Books,10/28/2018,99
DIARY OF A WIMPY KID,and   Jeff Kinney,Amulet,1419725459,9.78142E+12,Series Books,10/28/2018,500
CAPTAIN UNDERPANTS,and   Dav Pilkey,Scholastic,1338271490,9.78134E+12,Series Books,10/28/2018,140
BABY-SITTERS CLUB GRAPHIX,Ann M. Martin; various illustrators,Graphix,1338067613,9.78134E+12,Series Books,10/28/2018,7
AMULET,Kazu Kibuishi,Graphix,545828600,9.78055E+12,Series Books,10/28/2018,3
THE LAST KIDS ON EARTH,Max Brallier.,Viking,425292088,9.78043E+12,Series Books,10/28/2018,9
I SURVIVED,Lauren Tarshis,Scholastic,545919827,9.78055E+12,Series Books,10/28/2018,46
THE HATE U GIVE,Angie Thomas,Balzer & Bray,62498533,9.78006E+12,Young Adult Hardcover,10/28/2018,85
DEAR EVAN HANSEN: THE NOVEL,"Val Emmich with Steven Levenson, Benj Pasek & Justin Paul",Poppy,None,9.78032E+12,Young Adult Hardcover,10/28/2018,1
TURTLES ALL THE WAY DOWN,John Green,Dutton,525555366,9.78053E+12,Young Adult Hardcover,10/28/2018,53
BRIDGE OF CLAY,Markus Zusak,Knopf,1984830155,9.78198E+12,Young Adult Hardcover,10/28/2018,1
WHAT IF IT'S US,Becky Albertalli and Adam Silvera,Balzer & Bray,62795252,9.78006E+12,Young Adult Hardcover,10/28/2018,1
CHILDREN OF BLOOD AND BONE,Tomi Adeyemi,Holt,1250170974,9.78125E+12,Young Adult Hardcover,10/28/2018,32
LONG WAY DOWN,Jason Reynolds,Atheneum/Caitlyn Dlouhy,1481438255,9.78148E+12,Young Adult Hardcover,10/28/2018,29
HOCUS POCUS AND THE ALL-NEW SEQUEL,AW Jantha,Freeform,1368020038,9.78137E+12,Young Adult Hardcover,10/28/2018,12
MUSE OF NIGHTMARES,Laini Taylor,"Little, Brown",316341711,9.78032E+12,Young Adult Hardcover,10/28/2018,2
DRY,Neal Shusterman and Jarrod Shusterman,Simon & Schuster,1481481967,9.78148E+12,Young Adult Hardcover,10/28/2018,2
JUROR #3,James Patterson and Nancy Allen,"Little, Brown",316470066,9.78032E+12,Combined Print and E-Book Fiction,9/30/2018,1
SHADOW TYRANTS,Clive Cussler and Boyd Morrison,Putnam,735219079,9.78074E+12,Combined Print and E-Book Fiction,9/30/2018,1
CRAZY RICH ASIANS,Kevin Kwan,Anchor,345803787,9.78035E+12,Combined Print and E-Book Fiction,9/30/2018,14
THE FORBIDDEN DOOR,Dean Koontz,Bantam,None,9.78053E+12,Combined Print and E-Book Fiction,9/30/2018,1
LEVERAGE IN DEATH,JD Robb,St. Martin's,1250161584,9.78125E+12,Combined Print and E-Book Fiction,9/30/2018,2
CHINA RICH GIRLFRIEND,Kevin Kwan,Anchor,804172064,9.7808E+12,Combined Print and E-Book Fiction,9/30/2018,6
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,62797158,9.78006E+12,Combined Print and E-Book Fiction,9/30/2018,2
A SIMPLE FAVOR,Darcey Bell,Harper,62878646,9.78006E+12,Combined Print and E-Book Fiction,9/30/2018,2
IN HIS FATHER'S FOOTSTEPS,Danielle Steel,Delacorte,399179267,9.7804E+12,Combined Print and E-Book Fiction,9/30/2018,2
RICH PEOPLE PROBLEMS,Kevin Kwan,Anchor,052543237X,9.78053E+12,Combined Print and E-Book Fiction,9/30/2018,5
ORIGIN,Dan Brown,Doubleday,525563709,9.78053E+12,Combined Print and E-Book Fiction,9/30/2018,29
THE FALLEN,David Baldacci,Grand Central,1538761386,9.78154E+12,Combined Print and E-Book Fiction,9/30/2018,11
ROBERT B. PARKER'S COLORBLIND,Reed Farrel Coleman,Putnam,399574956,9.7804E+12,Combined Print and E-Book Fiction,9/30/2018,1
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219117,9.78074E+12,Combined Print and E-Book Fiction,9/30/2018,1
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,735220697,9.78074E+12,Combined Print and E-Book Fiction,9/30/2018,14
FEAR,Bob Woodward,Simon & Schuster,150117553X,9.7815E+12,Combined Print and E-Book Nonfiction,9/30/2018,1
EDUCATED,Tara Westover,Random House,039959051X,9.7804E+12,Combined Print and E-Book Nonfiction,9/30/2018,30
THE RESTLESS WAVE,John McCain and Mark Salter,Simon & Schuster,1501178008,9.7815E+12,Combined Print and E-Book Nonfiction,9/30/2018,7
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,Spiegel & Grau,525512179,9.78053E+12,Combined Print and E-Book Nonfiction,9/30/2018,2
UNHINGED,Omarosa Manigault Newman,Gallery,198210970X,9.78198E+12,Combined Print and E-Book Nonfiction,9/30/2018,5
ACCESSORY TO WAR,Neil deGrasse Tyson and Avis Lang,Norton,393064441,9.78039E+12,Combined Print and E-Book Nonfiction,9/30/2018,1
THE RUSSIA HOAX,Gregg Jarrett,Broadside,62872745,9.78006E+12,Combined Print and E-Book Nonfiction,9/30/2018,8
SAPIENS,Yuval Noah Harari,Harper,62316117,9.78006E+12,Combined Print and E-Book Nonfiction,9/30/2018,39
ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,Norton,393609391,9.78039E+12,Combined Print and E-Book Nonfiction,9/30/2018,62
THE CODDLING OF THE AMERICAN MIND,Greg Lukianoff and Jonathan Haidt,Penguin Press,735224897,9.78074E+12,Combined Print and E-Book Nonfiction,9/30/2018,2
EVERY DAY IS EXTRA,John Kerry,Simon & Schuster,1501178954,9.7815E+12,Combined Print and E-Book Nonfiction,9/30/2018,2
CONTEMPT,Ken Starr,Sentinel,525536132,9.78053E+12,Combined Print and E-Book Nonfiction,9/30/2018,1
BAD BLOOD,John Carreyrou,Knopf,1524731668,9.78152E+12,Combined Print and E-Book Nonfiction,9/30/2018,17
GRIT,Angela Duckworth,Scribner,1501111116,9.7815E+12,Combined Print and E-Book Nonfiction,9/30/2018,18
"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,Center Street,1546083421,9.78155E+12,Combined Print and E-Book Nonfiction,9/30/2018,8
JUROR #3,James Patterson and Nancy Allen,"Little, Brown",316474126,9.78032E+12,Hardcover Fiction,9/30/2018,1
SHADOW TYRANTS,Clive Cussler and Boyd Morrison,Putnam,735219060,9.78074E+12,Hardcover Fiction,9/30/2018,1
LEVERAGE IN DEATH,JD Robb,St. Martin's,1250161568,9.78125E+12,Hardcover Fiction,9/30/2018,2
IN HIS FATHER'S FOOTSTEPS,Danielle Steel,Delacorte,399179267,9.7804E+12,Hardcover Fiction,9/30/2018,2
THE FORBIDDEN DOOR,Dean Koontz,Bantam,525483705,9.78053E+12,Hardcover Fiction,9/30/2018,1
TEXAS RANGER,James Patterson and Andrew Bourelle,"Little, Brown",316556661,9.78032E+12,Hardcover Fiction,9/30/2018,5
THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",316412694,9.78032E+12,Hardcover Fiction,9/30/2018,15
WHERE THE CRAWDADS SING,Delia Owens,Putnam,735219095,9.78074E+12,Hardcover Fiction,9/30/2018,2
THE FALL OF GONDOLIN,JRR Tolkien,Houghton Mifflin Harcourt,1328613046,9.78133E+12,Hardcover Fiction,9/30/2018,3
THE OUTSIDER,Stephen King,Scribner,1501180983,9.7815E+12,Hardcover Fiction,9/30/2018,17
ROBERT B. PARKER'S COLORBLIND,Reed Farrel Coleman,Putnam,399574948,9.7804E+12,Hardcover Fiction,9/30/2018,1
BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,425284689,9.78043E+12,Hardcover Fiction,9/30/2018,52
DEPTH OF WINTER,Craig Johnson,Viking,525522476,9.78053E+12,Hardcover Fiction,9/30/2018,2
LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,735224293,9.78074E+12,Hardcover Fiction,9/30/2018,48
THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,62678418,9.78006E+12,Hardcover Fiction,9/30/2018,31
FEAR,Bob Woodward,Simon & Schuster,1501175513,9.7815E+12,Hardcover Nonfiction,9/30/2018,1
THE RESTLESS WAVE,John McCain and Mark Salter,Simon & Schuster,1501178008,9.7815E+12,Hardcover Nonfiction,9/30/2018,7
21 LESSONS FOR THE 21ST CENTURY,Yuval Noah Harari,Spiegel & Grau,525512179,9.78053E+12,Hardcover Nonfiction,9/30/2018,2
EDUCATED,Tara Westover,Random House,399590501,9.7804E+12,Hardcover Nonfiction,9/30/2018,30
UNHINGED,Omarosa Manigault Newman,Gallery,198210970X,9.78198E+12,Hardcover Nonfiction,9/30/2018,5
THE RUSSIA HOAX,Gregg Jarrett,Broadside,62872745,9.78006E+12,Hardcover Nonfiction,9/30/2018,8
ACCESSORY TO WAR,Neil deGrasse Tyson and Avis Lang,Norton,393064441,9.78039E+12,Hardcover Nonfiction,9/30/2018,1
ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,Norton,393609391,9.78039E+12,Hardcover Nonfiction,9/30/2018,71
EVERY DAY IS EXTRA,John Kerry,Simon & Schuster,1501178954,9.7815E+12,Hardcover Nonfiction,9/30/2018,2
THE CODDLING OF THE AMERICAN MIND,Greg Lukianoff and Jonathan Haidt,Penguin Press,735224897,9.78074E+12,Hardcover Nonfiction,9/30/2018,2
"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,Center Street,1546083421,9.78155E+12,Hardcover Nonfiction,9/30/2018,9
THE SOUL OF AMERICA,Jon Meacham,Random House,399589813,9.7804E+12,Hardcover Nonfiction,9/30/2018,19
CONTEMPT,Ken Starr,Sentinel,525536132,9.78053E+12,Hardcover Nonfiction,9/30/2018,1
SMALL FRY,Lisa Brennan-Jobs,Grove,802128238,9.7808E+12,Hardcover Nonfiction,9/30/2018,2
WE FED AN ISLAND,José Andrés with Richard Wolffe,Anthony Bourdain/Ecco,62864483,9.78006E+12,Hardcover Nonfiction,9/30/2018,1
CRAZY RICH ASIANS,Kevin Kwan,Anchor,345803787,9.78035E+12,Trade Fiction Paperback,9/30/2018,21
CHINA RICH GIRLFRIEND,Kevin Kwan,Anchor,804172064,9.7808E+12,Trade Fiction Paperback,9/30/2018,8
THE TATTOOIST OF AUSCHWITZ,Heather Morris,Harper,62797158,9.78006E+12,Trade Fiction Paperback,9/30/2018,2
THE FALLEN,David Baldacci,Grand Central,1538761386,9.78154E+12,Trade Fiction Paperback,9/30/2018,1
RICH PEOPLE PROBLEMS,Kevin Kwan,Anchor,052543237X,9.78053E+12,Trade Fiction Paperback,9/30/2018,6
ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,735220697,9.78074E+12,Trade Fiction Paperback,9/30/2018,15
LESS,Andrew Sean Greer,Back Bay,031631613X,9.78032E+12,Trade Fiction Paperback,9/30/2018,17
A SIMPLE FAVOR,Darcey Bell,Harper,62878646,9.78006E+12,Trade Fiction Paperback,9/30/2018,3
THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9.78039E+12,Trade Fiction Paperback,9/30/2018,81
MILK AND HONEY,Rupi Kaur,Andrews McMeel,144947425X,9.78145E+12,Trade Fiction Paperback,9/30/2018,127
SHARP OBJECTS,Gillian Flynn,Broadway,307341550,9.78031E+12,Trade Fiction Paperback,9/30/2018,55
THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,1449486797,9.78145E+12,Trade Fiction Paperback,9/30/2018,50
PACHINKO,Min Jin Lee,Grand Central,1455563927,9.78146E+12,Trade Fiction Paperback,9/30/2018,28
ORIGIN,Dan Brown,Anchor,525563695,9.78053E+12,Trade Fiction Paperback,9/30/2018,9
THE WOMAN IN CABIN 10,Ruth Ware,Scout,1501132954,9.7815E+12,Trade Fiction Paperback,9/30/2018,63
