,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List
2466,ONE OF US IS LYING,Karen M. McManus,Delacorte,1524714682,9781524714680,Young Adult Hardcover,2018-09-02,57
2467,THE HAZEL WOOD,Melissa Albert,Flatiron,1250147905,9781250147905,Young Adult Hardcover,2018-09-02,29
2468,THUNDERHEAD,Neal Shusterman,Simon & Schuster,1442472456,9781442472457,Young Adult Hardcover,2018-09-02,17
2469,LEAH ON THE OFFBEAT,Becky Albertalli,Balzer + Bray,0062643800,9780062643803,Young Adult Hardcover,2018-09-02,17
2470,THE OTHER WOMAN,Daniel Silva,HarperCollins,0062834886,9780062834881,Combined Print and E-Book Fiction,2018-08-05,1
2471,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",0316412716,9780316412711,Combined Print and E-Book Fiction,2018-08-05,7
2472,THE ADVENTURE ZONE: HERE THERE BE GERBLINS,Clint McElroy et al,First Second,1250153700,9781250153708,Combined Print and E-Book Fiction,2018-08-05,1
2473,SHARP OBJECTS,Gillian Flynn,Broadway,0307351483,9780307351487,Combined Print and E-Book Fiction,2018-08-05,8
2474,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,0399181261,9780399181269,Combined Print and E-Book Fiction,2018-08-05,1
2475,ORIGIN,Dan Brown,Doubleday,0525563709,9780525563709,Combined Print and E-Book Fiction,2018-08-05,21
2476,THE OUTSIDER,Stephen King,Scribner,1501181017,9781501181016,Combined Print and E-Book Fiction,2018-08-05,9
2477,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",0316375241,9780316375245,Combined Print and E-Book Fiction,2018-08-05,5
2478,ALL WE EVER WANTED,Emily Giffin,Ballantine,0399178937,9780399178931,Combined Print and E-Book Fiction,2018-08-05,4
2479,THE ROOSTER BAR,John Grisham,Bantam/Dell,1101967706,9781101967706,Combined Print and E-Book Fiction,2018-08-05,19
2480,CRAZY RICH ASIANS,Kevin Kwan,Anchor,0345803787,9780345803788,Combined Print and E-Book Fiction,2018-08-05,6
2481,ALL YOUR PERFECTS,Colleen Hoover,Atria,1501171607,9781501171604,Combined Print and E-Book Fiction,2018-08-05,1
2482,SPYMASTER,Brad Thor,Emily Bestler/Atria,1476789436,9781476789439,Combined Print and E-Book Fiction,2018-08-05,3
2483,TRIPLE HOMICIDE,James Patterson,Grand Central,1538730731,9781538730737,Combined Print and E-Book Fiction,2018-08-05,1
2484,ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,0735220697,9780735220690,Combined Print and E-Book Fiction,2018-08-05,7
2485,"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,Center Street,1546083421,9781546083429,Combined Print and E-Book Nonfiction,2018-08-05,1
2486,EDUCATED,Tara Westover,Random House,039959051X,9780399590511,Combined Print and E-Book Nonfiction,2018-08-05,22
2487,KITCHEN CONFIDENTIAL,Anthony Bourdain,Ecco,0060899220,9780060899226,Combined Print and E-Book Nonfiction,2018-08-05,8
2488,CALYPSO,David Sedaris,"Little, Brown",0316392383,9780316392389,Combined Print and E-Book Nonfiction,2018-08-05,8
2489,BAD BLOOD,John Carreyrou,Knopf,1524731668,9781524731663,Combined Print and E-Book Nonfiction,2018-08-05,9
2490,SAPIENS,Yuval Noah Harari,Harper,0062316117,9780062316110,Combined Print and E-Book Nonfiction,2018-08-05,31
2491,THE SOUL OF AMERICA,Jon Meacham,Random House,0399589813,9780399589812,Combined Print and E-Book Nonfiction,2018-08-05,11
2492,THINGS THAT MATTER,Charles Krauthammer,Crown Forum,038534919X,9780385349192,Combined Print and E-Book Nonfiction,2018-08-05,24
2493,INDIANAPOLIS,Lynn Vincent and Sara Vladic,Simon & Schuster,1501135945,9781501135941,Combined Print and E-Book Nonfiction,2018-08-05,2
2494,HOW TO CHANGE YOUR MIND,Michael Pollan,Penguin Press,1594204225,9781594204227,Combined Print and E-Book Nonfiction,2018-08-05,10
2495,FROM THE CORNER OF THE OVAL,Beck Dorey-Stein,Spiegel & Grau,0525509127,9780525509127,Combined Print and E-Book Nonfiction,2018-08-05,2
2496,KILLERS OF THE FLOWER MOON,David Grann,Doubleday,0307742482,9780307742483,Combined Print and E-Book Nonfiction,2018-08-05,57
2497,THE PLOT TO DESTROY DEMOCRACY,Malcolm Nance,Hachette,0316484814,9780316484817,Combined Print and E-Book Nonfiction,2018-08-05,4
2498,RED NOTICE,Bill Browder,Simon & Schuster,1476755744,9781476755748,Combined Print and E-Book Nonfiction,2018-08-05,2
2499,HILLBILLY ELEGY,J.D. Vance,HarperCollins,0062300555,9780062300553,Combined Print and E-Book Nonfiction,2018-08-05,84
2500,THE OTHER WOMAN,Daniel Silva,Harper,0062834827,9780062834829,Hardcover Fiction,2018-08-05,1
2501,THE PRESIDENT IS MISSING,James Patterson and Bill Clinton,"Little, Brown and Knopf",0316412694,9780316412698,Hardcover Fiction,2018-08-05,7
2502,COTTAGE BY THE SEA,Debbie Macomber,Ballantine,0399181253,9780399181252,Hardcover Fiction,2018-08-05,1
2503,THE OUTSIDER,Stephen King,Scribner,1501180983,9781501180989,Hardcover Fiction,2018-08-05,9
2504,THE PERFECT COUPLE,Elin Hilderbrand,"Little, Brown",0316375268,9780316375269,Hardcover Fiction,2018-08-05,5
2505,ALL WE EVER WANTED,Emily Giffin,Ballantine,0399178929,9780399178924,Hardcover Fiction,2018-08-05,4
2506,SPYMASTER,Brad Thor,Emily Bestler/Atria,147678941X,9781476789415,Hardcover Fiction,2018-08-05,3
2507,CLOCK DANCE,Anne Tyler,Knopf,0525655522,9780525655527,Hardcover Fiction,2018-08-05,2
2508,THE GOOD FIGHT,Danielle Steel,Delacorte,1101884126,9781101884126,Hardcover Fiction,2018-08-05,2
2509,WHEN LIFE GIVES YOU LULULEMONS,Lauren Weisberger,Simon & Schuster,1476778442,9781476778440,Hardcover Fiction,2018-08-05,7
2510,BEFORE WE WERE YOURS,Lisa Wingate,Ballantine,0425284689,9780425284681,Hardcover Fiction,2018-08-05,44
2511,THERE THERE,Tommy Orange,Knopf,0525520376,9780525520375,Hardcover Fiction,2018-08-05,7
2512,THE GREAT ALONE,Kristin Hannah,St. Martin's,0312577230,9780312577230,Hardcover Fiction,2018-08-05,19
2513,THE WOMAN IN THE WINDOW,A.J. Finn,Morrow,0062678418,9780062678416,Hardcover Fiction,2018-08-05,25
2514,LITTLE FIRES EVERYWHERE,Celeste Ng,Penguin Press,0735224293,9780735224292,Hardcover Fiction,2018-08-05,43
2515,"LIARS, LEAKERS AND LIBERALS",Jeanine Pirro,Center Street,1546083421,9781546083429,Hardcover Nonfiction,2018-08-05,1
2516,EDUCATED,Tara Westover,Random House,0399590501,9780399590504,Hardcover Nonfiction,2018-08-05,22
2517,CALYPSO,David Sedaris,"Little, Brown",0316392383,9780316392389,Hardcover Nonfiction,2018-08-05,8
2518,THE SOUL OF AMERICA,Jon Meacham,Random House,0399589813,9780399589812,Hardcover Nonfiction,2018-08-05,11
2519,INDIANAPOLIS,Lynn Vincent and Sara Vladic,Simon & Schuster,1501135945,9781501135941,Hardcover Nonfiction,2018-08-05,2
2520,HOW TO CHANGE YOUR MIND,Michael Pollan,Penguin Press,1594204225,9781594204227,Hardcover Nonfiction,2018-08-05,10
2521,ASTROPHYSICS FOR PEOPLE IN A HURRY,Neil deGrasse Tyson,Norton,0393609391,9780393609394,Hardcover Nonfiction,2018-08-05,63
2522,THE PLOT TO DESTROY DEMOCRACY,Malcolm Nance,Hachette,0316484814,9780316484817,Hardcover Nonfiction,2018-08-05,4
2523,BAD BLOOD,John Carreyrou,Knopf,152473165X,9781524731656,Hardcover Nonfiction,2018-08-05,7
2524,THE DEATH OF TRUTH,Michiko Kakutani,Tim Duggan,0525574824,9780525574828,Hardcover Nonfiction,2018-08-05,1
2525,FROM THE CORNER OF THE OVAL,Beck Dorey-Stein,Spiegel & Grau,0525509127,9780525509127,Hardcover Nonfiction,2018-08-05,1
2526,FASCISM: A Warning,Madeleine Albright with Bill Woodward,Harper,0062802186,9780062802187,Hardcover Nonfiction,2018-08-05,9
2527,FROM COLD WAR TO HOT PEACE,Michael McFaul,Houghton Mifflin Harcourt,0544716248,9780544716247,Hardcover Nonfiction,2018-08-05,1
2528,FACTFULNESS,Hans Rosling with Ola Rosling and Anna Rosling Ronnlund,Flatiron,1250107814,9781250107817,Hardcover Nonfiction,2018-08-05,11
2529,I'LL BE GONE IN THE DARK,Michelle McNamara,Harper,0062319787,9780062319784,Hardcover Nonfiction,2018-08-05,19
2530,THE ADVENTURE ZONE: HERE THERE BE GERBLINS,Clint McElroy et al,First Second,1250153700,9781250153708,Trade Fiction Paperback,2018-08-05,1
2531,CRAZY RICH ASIANS,Kevin Kwan,Anchor,0345803787,9780345803788,Trade Fiction Paperback,2018-08-05,13
2532,SHARP OBJECTS,Gillian Flynn,Broadway,0307341550,9780307341556,Trade Fiction Paperback,2018-08-05,47
2533,ELEANOR OLIPHANT IS COMPLETELY FINE,Gail Honeyman,Penguin,0735220697,9780735220690,Trade Fiction Paperback,2018-08-05,7
2534,LESS,Andrew Sean Greer,Back Bay,031631613X,9780316316132,Trade Fiction Paperback,2018-08-05,9
2535,THE HANDMAID'S TALE,Margaret Atwood,Anchor,038549081X,9780385490818,Trade Fiction Paperback,2018-08-05,73
2536,ORIGIN,Dan Brown,Anchor,0525563695,9780525563693,Trade Fiction Paperback,2018-08-05,1
2537,MILK AND HONEY,Rupi Kaur,Andrews McMeel,144947425X,9781449474256,Trade Fiction Paperback,2018-08-05,119
2538,THE NIGHTINGALE,Kristin Hannah,St. Martin's Griffin,1250080401,9781250080400,Trade Fiction Paperback,2018-08-05,19
2539,THE WOMAN IN CABIN 10,Ruth Ware,Scout,1501132954,9781501132957,Trade Fiction Paperback,2018-08-05,59
2540,INTO THE WATER,Paula Hawkins,Riverhead,0735211221,9780735211223,Trade Fiction Paperback,2018-08-05,12
2541,THE SUN AND HER FLOWERS,Rupi Kaur,Andrews McMeel,1449486797,9781449486792,Trade Fiction Paperback,2018-08-05,42
2542,ALL THE LIGHT WE CANNOT SEE,Anthony Doerr,Scribner,1501173219,9781501173219,Trade Fiction Paperback,2018-08-05,57
