,Title,Author,Publisher,Primary ISBN10,Primary ISBN13,NYT List,NYT List Published Date,Weeks on NYT List,Average Google Review,Google Review Count
117,9-Nov,Colleen Hoover,Atria,1501110349,9.7815E+12,Trade Fiction Paperback,3/19/2023,68,4,1544
118,ICEBREAKER,Hannah Grace,Atria,1668026031,9.78167E+12,Trade Fiction Paperback,3/19/2023,4,5,1
119,THE MAID,Nita Prose,Ballantine,593356179,9.78059E+12,Trade Fiction Paperback,3/19/2023,8,4,67
120,STOLEN FOCUS,Johann Hari,Crown,593138538,9.78059E+12,Paperback Nonfiction,3/19/2023,2,4.5,2
121,LUCK OF THE DRAW,Frank Murphy,St. Martin's Griffin,1250866898,9.78125E+12,Paperback Nonfiction,3/19/2023,1,4,1
122,QUIET,Susan Cain,Broadway,307352153,9.78031E+12,Paperback Nonfiction,3/19/2023,179,4,3478
123,THE JANUARY 6TH REPORT,the Select Committee to Investigate the Jan. 6 Attack on the United States Capitol,Celadon,1250877520,9.78125E+12,Paperback Nonfiction,3/19/2023,10,,
124,THE BOMBER MAFIA,Malcolm Gladwell,Back Bay,316296813,9.78032E+12,Paperback Nonfiction,3/19/2023,29,3.5,28
125,HOW TO BE AN ANTIRACIST,Ibram X. Kendi,One World,525509305,9.78053E+12,Paperback Nonfiction,3/19/2023,4,4,29
126,DRAMA FREE,Nedra Glover Tawwab,TarcherPerigee,593539273,9.78059E+12,Advice How-To and Miscellaneous,3/19/2023,1,,
127,WIN EVERY ARGUMENT,Mehdi Hasan,Holt,1250853478,9.78125E+12,Advice How-To and Miscellaneous,3/19/2023,1,,
128,TWO WEEKS NOTICE,Amy Porterfield,Hay House,1401969879,9.7814E+12,Advice How-To and Miscellaneous,3/19/2023,2,,
129,HOW TO CATCH A LEPRECHAUN,Adam Wallace.,Sourcebooks Jabberwocky,1492632910,9.78149E+12,Picture Books,3/19/2023,30,4,2
130,PETE THE CAT: THE GREAT LEPRECHAUN CHASE,James Dean,HarperCollins,62404504,9.78006E+12,Picture Books,3/19/2023,14,5,1
131,HOT DOG,Doug Salati,Knopf,593308433,9.78059E+12,Picture Books,3/19/2023,1,,
132,FOLK OF THE AIR,Holly Black,"Little, Brown",031631031X,9.78032E+12,Series Books,3/19/2023,30,,
133,WINGS OF FIRE,Tui T. Sutherland,Scholastic,545349230,9.78055E+12,Series Books,3/19/2023,201,4.5,8
134,IMMORTALITY,Dana Schwartz,Wednesday,1250861012,9.78125E+12,Young Adult Hardcover,3/19/2023,1,,
